66,[UI Draw Object] The FreeAnnotation FontSize Up button was pushed. :,拡大ボタンが押されました
67,[UI Draw Object] The FreeAnnotation FontSize Down button was pushed. :,縮小ボタンが押されました
68,[UI Draw Object] The FreeAnnotation Delete button was pushed :,削除ボタンが押されました
69,[UI Draw Object] FreeAnnotation Create :,配置と追加ボタンが押されました
70,[UI Draw Object] FreeAnnotation Create :,配置と変更ボタンが押されました
71,[UI Draw Object] FreeAnnotation Create :,配置のみボタンが押されました
72,Workflow : mwc_AddFreeAnnotationCancel :,キャンセルボタンが押されました
73,Workflow : shutDownSystem() :,シャットダウンボタンが押されました
74,Workflow : Shutdown() :,復帰モードボタンが押されました
75,Workflow : mwc_RejectReasonWindowOKClick :,OKボタンが押されました
76,Workflow : mwc_RejectReasonWindowCancelClick :,キャンセルボタンが押されました
77,Workflow : mwc_RejectReasonWindowOKClick :,OKボタンが押されました
78,Workflow : mwc_RejectReasonWindowCancelClick :,キャンセルボタンが押されました
