2014/04/22 09:44:44.455, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.457, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.457, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.458, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.460, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.460, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.460, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.464, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.463, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.464, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.467, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.467, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.468, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.471, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.471, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.471, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.475, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.475, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.475, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.478, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.478, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.478, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2014/04/22 09:44:44.481, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 44.481, , , WorkflowLibrary.SensorStateManager
2014/04/22 09:44:44.481, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
