2013/10/02 13:36:43.095, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.100, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.100, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.100, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.105, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.105, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.105, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.110, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.110, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.110, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.116, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.116, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.116, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.120, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.120, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.121, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.127, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.127, , , WorkflowLibrary.SensorStateManager
2013/10/02 13:36:43.127, A-2013-P49540, 0001, I, 030101001, G->F CALL [GetSensorCatalogInfo()], , , Exam.ExamFacade
2013/10/02 13:36:43.132, A-2013-P49540, 0001, I, 020200001, SensorStatus : facade.GetSensorCatalogInfo : 43.132, , , WorkflowLibrary.SensorStateManager
